trajectory_id,num_points,matched_segments,confidence,avg_point_distance,avg_angle,max_angle
0,23,23,0.9784844446919266,0.0013053779925280761,0.9074508206013198,3.141592653589793
1,19,19,0.49927564616189757,0.0021976296167612337,0.16706394419232148,1.2571175292501344
2,65,60,0.33471110884938765,0.0031552815919583237,0.49728799991357236,3.003316001993241
3,42,42,0.49082502839928516,0.0022236055584928674,0.8520727420935799,2.9029833310603577
4,29,29,0.9112890246562833,0.0019010778199699404,0.5682598004982566,2.3196810454907912
5,26,26,0.49925255282662256,0.00243089356362445,0.5032423876269498,2.0499911223801686
6,36,36,0.44030899993976896,0.001086719171397982,0.8707105043547557,3.075024489786605
7,33,33,0.49721706922518466,0.0008171501056778799,0.8058939337281336,2.3561944900936584
8,38,38,0.9728574157106339,0.0012341322253374247,0.5110773263837001,2.355562778324378
9,19,19,0.526396830854788,0.001089654570838418,0.6702085884147444,2.49809154470177
10,22,22,0.9289484275617218,0.0010943797147593029,0.6227353686485307,3.0483387384827347
11,44,44,0.9875659864558323,0.0015713823923956662,0.5215851339390548,2.5719606866782185
12,32,32,0.9978794245432114,0.0019836079175810737,0.48183323477779644,1.7604286414933306
13,34,34,0.496321586149406,0.0013100563066572623,0.4253357746180063,1.639829089671298
14,28,28,0.9967412044603955,0.0010645090119857932,0.5798238625770985,1.7174708578779703
